+ virbr0 IPv4 me [ea:b0:af:b4:48:35]                        Workstation          local
+  wlan0 IPv6 pclab-64 [70:71:bc:9c:6b:4f]                  Workstation          local
+  wlan0 IPv4 anjana-desktop [e8:40:f2:0b:11:8c]            Workstation          local
+  wlan0 IPv4 pclab-26 [10:bf:48:73:18:46]                  Workstation          local
+  wlan0 IPv4 boss [1c:75:08:52:e3:20]                      Workstation          local
+  wlan0 IPv4 ibmnode2 [00:21:5e:99:98:34]                  Workstation          local
+  wlan0 IPv4 saurabh [58:20:b1:3f:ca:1f]                   Workstation          local
+  wlan0 IPv4 rlgw [44:a8:42:4a:65:a9]                      Workstation          local
+  wlan0 IPv4 dell-Inspiron-660s [a4:1f:72:61:3f:04]        Workstation          local
+  wlan0 IPv4 rudra-2 [34:17:eb:af:0a:8c]                   Workstation          local
+  wlan0 IPv4 pclab-49 [30:85:a9:47:37:a1]                  Workstation          local
+  wlan0 IPv4 jiten-2 [b4:b5:2f:ca:64:ad]                   Workstation          local
+  wlan0 IPv6 manish-Inspiron-3521 [9c:2a:70:48:5f:01]      Workstation          local
+  wlan0 IPv4 mayank [a0:48:1c:0e:81:83]                    Workstation          local
+  wlan0 IPv6 pavanteja-Inspiron-5520 [c0:18:85:c8:aa:33]   Workstation          local
+  wlan0 IPv6 pavanteja's remote desktop on pavanteja-Inspiron-5520 Web Site             local
+  wlan0 IPv6 linux-2 [00:1e:67:47:57:52]                   Workstation          local
+  wlan0 IPv6 sriramk-OptiPlex-9020 [98:90:96:cc:b4:8e]     Workstation          local
+  wlan0 IPv6 scidb-vm [08:00:27:db:10:c5]                  Workstation          local
+  wlan0 IPv6 cybernator-X200MA [54:27:1e:c7:ec:1b]         Workstation          local
+  wlan0 IPv6 tulikaps-Precision-T5610 [34:17:eb:ae:9e:ce]  Workstation          local
+  wlan0 IPv6 swap-550P5C-550P7C [c8:f7:33:6d:4e:5d]        Workstation          local
+  wlan0 IPv6 kiriti-Inspiron-5520 [c0:18:85:c1:4a:19]      Workstation          local
+  wlan0 IPv6 ashok-Aspire-E1-431 [24:fd:52:b3:51:5c]       Workstation          local
+  wlan0 IPv6 sparsh-HP-Pavilion-15-NoteBooK-PC [bc:85:56:bf:a7:5b] Workstation          local
+  wlan0 IPv6 ubuntu-2 [b0:10:41:1b:f7:8b]                  Workstation          local
+  wlan0 IPv6 berlin [00:71:cc:42:80:6f]                    Workstation          local
+  wlan0 IPv6 sksq [18:5e:0f:75:d8:75]                      Workstation          local
+  wlan0 IPv6 IITVandeMatram [64:00:6a:68:ee:ef]            Workstation          local
+  wlan0 IPv6 MarCosKaDabba [8c:a9:82:5e:79:4c]             Workstation          local
+  wlan0 IPv4 network [00:15:17:f4:5e:15]                   Workstation          local
+  wlan0 IPv4 csy-Lenovo-H30-50 [c0:3f:d5:e2:6b:f1]         Workstation          local
+  wlan0 IPv4 pclab-07 [70:71:bc:9c:6b:42]                  Workstation          local
+  wlan0 IPv4 rudra [f8:b1:56:dd:7a:4f]                     Workstation          local
+  wlan0 IPv4 pclab-48 [30:85:a9:46:f3:73]                  Workstation          local
+  wlan0 IPv4 pclab-08 [70:71:bc:9c:6b:37]                  Workstation          local
+  wlan0 IPv4 kartik [98:90:96:b2:8b:52]                    Workstation          local
+  wlan0 IPv4 pclab-09 [70:71:bc:9c:6c:56]                  Workstation          local
+  wlan0 IPv4 varun-Inspiron-3521 [80:56:f2:2b:e2:eb]       Workstation          local
+  wlan0 IPv4 faria-Precision-T5600 [18:03:73:1f:c5:1f]     Workstation          local
+  wlan0 IPv4 phoenix [e0:69:95:3c:a4:87]                   Workstation          local
+  wlan0 IPv6 samya-Lenovo-G500 [24:fd:52:93:76:78]         Workstation          local
+  wlan0 IPv4 nanu-ThinkCentre-Edge71 [8c:89:a5:71:1c:a9]   Workstation          local
+  wlan0 IPv4 pclab-30 [30:85:a9:47:3a:14]                  Workstation          local
+  wlan0 IPv4 onkar [4c:0f:6e:e6:68:01]                     Workstation          local
+  wlan0 IPv4 pclab-47 [30:85:a9:47:39:e7]                  Workstation          local
+  wlan0 IPv4 pclab-19 [00:e0:1c:3c:24:44]                  Workstation          local
+  wlan0 IPv4 rudraa [38:60:77:29:dc:f3]                    Workstation          local
+  wlan0 IPv4 pathak-X550LD [10:c3:7b:8d:97:ac]             Workstation          local
+  wlan0 IPv4 pclab-42 [30:85:a9:46:f3:a9]                  Workstation          local
+  wlan0 IPv4 pclab-64 [70:71:bc:9c:6b:4f]                  Workstation          local
+  wlan0 IPv6 nasir-HP-15-Notebook-PC [ec:0e:c4:60:4e:99]   Workstation          local
+  wlan0 IPv4 liquid [5c:b9:01:05:41:a8]                    Workstation          local
+  wlan0 IPv4 manish-Inspiron-3521 [9c:2a:70:48:5f:01]      Workstation          local
+  wlan0 IPv6 sudhir [f4:b7:e2:b0:61:3b]                    Workstation          local
+  wlan0 IPv4 pavanteja-Inspiron-5520 [c0:18:85:c8:aa:33]   Workstation          local
+  wlan0 IPv4 sriramk-OptiPlex-9020 [98:90:96:cc:b4:8e]     Workstation          local
+  wlan0 IPv4 linux-2 [00:1e:67:47:57:52]                   Workstation          local
